resnet_model/res4_4_branch2a_bn/moving_variance,[256]
resnet_model/res2_2_branch2a_bn/beta/Momentum,[64]
resnet_model/res3_2_branch2a_bn/beta/Momentum,[128]
resnet_model/res4_0_branch2b/kernel/Momentum,"[3, 3, 256, 256]"
resnet_model/res4_1_branch2c_bn/beta/Momentum,[1024]
resnet_model/res3_1_branch2c/kernel/Momentum,"[1, 1, 128, 512]"
resnet_model/res5_0_branch2c/kernel,"[1, 1, 512, 2048]"
resnet_model/res2_1_branch2a_bn/beta/Momentum,[64]
resnet_model/res3_1_branch2b/kernel/Momentum,"[3, 3, 128, 128]"
resnet_model/res4_0_branch2b_bn/gamma,[256]
resnet_model/res3_3_branch2b_bn/moving_mean,[128]
resnet_model/res2_2_branch2a_bn/moving_variance,[64]
resnet_model/res4_0_branch2a_bn/beta,[256]
resnet_model/res4_0_branch2c_bn/gamma/Momentum,[1024]
resnet_model/res5_2_branch2b_bn/beta,[512]
resnet_model/res3_3_branch2b_bn/gamma/Momentum,[128]
resnet_model/res3_0_branch2c_bn/gamma/Momentum,[512]
